2022-12-02,R,Withdrawal,Intesa,None,-15.0,EUR,Spese domestiche:Abbigliamento,Vestiti,Guanti H&M
2022-12-09,R,Deposit,Intesa,None,1535.0,EUR,Entrate,Stipendio,Stipendio novembre 2022
2022-12-13,R,Withdrawal,Intesa,None,-71.0,EUR,Viaggi,Trasporti,Aereo Napoli Varsavia a/r
2022-12-13,R,Withdrawal,Intesa,None,-114.99,EUR,Viaggi,Hotel,Airbnb Varsavia
2022-12-13,R,Withdrawal,Intesa,None,-10.0,EUR,Altre Uscite,,Donazione onlus
2022-12-13,R,Withdrawal,Intesa,None,-36.45,EUR,Viaggi,Hotel,Hotel Napoli
2022-12-14,R,Withdrawal,Intesa,None,-11.0,EUR,Viaggi,Trasporti,Autobus San brancato Fisciano
2022-12-16,R,Withdrawal,Intesa,None,-23.97,EUR,Viaggi,Trasporti,Flixbus aeroporto Varsavia
2022-12-16,R,Withdrawal,Intesa,None,-7.88,EUR,Viaggi,Trasporti,Uber Varsavia
2022-12-17,R,Withdrawal,Intesa,None,-7.12,EUR,Viaggi,Cibo,Birra Nachos
2022-12-17,R,Withdrawal,Intesa,None,-8.83,EUR,Viaggi,Attrazioni,Centro scienza Copernico
2022-12-17,R,Withdrawal,Intesa,None,-4.94,EUR,Viaggi,Cibo,Colazione Varsavia
2022-12-17,R,Withdrawal,Intesa,None,-3.7,EUR,Viaggi,Attrazioni,Museo arti moderne Varsavia
2022-12-18,R,Withdrawal,Intesa,None,-7.98,EUR,Viaggi,Attrazioni,Biglietto Wilanow
2022-12-18,R,Withdrawal,Intesa,None,-5.41,EUR,Viaggi,Cibo,Birra Argentina Francia
2022-12-18,R,Withdrawal,Intesa,None,-12.89,EUR,Viaggi,Cibo,Cena Podwale 25
2022-12-18,R,Withdrawal,Intesa,None,-4.64,EUR,Viaggi,Cibo,Colazione Varsavia
2022-12-18,R,Withdrawal,Intesa,None,-10.54,EUR,Viaggi,Cibo,Pranzo Zapiecek
2022-12-18,R,Withdrawal,Intesa,None,-5.41,EUR,Viaggi,Souvenir,Souvenir Varsavia
2022-12-18,R,Withdrawal,Intesa,None,-12.89,EUR,Viaggi,Souvenir,Souvenir Varsavia 2
